,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version
0,LeBron James,97,#23,Los Angeles Lakers,F,12/30/84,2.06,113.4,37436858,USA,2003,1,1,,NBA2k20
1,Kawhi Leonard,97,#2,Los Angeles Clippers,F,06/29/91,2.01,102.1,32742000,USA,2011,1,15,San Diego State,NBA2k20
2,Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,12/06/94,2.11,109.8,25842697,Greece,2013,1,15,,NBA2k20
3,Kevin Durant,96,#7,Brooklyn Nets,F,09/29/88,2.08,104.3,37199000,USA,2007,1,2,Texas,NBA2k20
4,James Harden,96,#13,Houston Rockets,G,08/26/89,1.96,99.8,38199000,USA,2009,1,3,Arizona State,NBA2k20
5,Stephen Curry,95,#30,Golden State Warriors,G,03/14/88,1.91,83.9,40231758,USA,2009,1,7,Davidson,NBA2k20
6,Anthony Davis,94,#3,Los Angeles Lakers,F-C,03/11/93,2.08,100.7,27093019,USA,2012,1,1,Kentucky,NBA2k20
7,Paul George,93,#13,Los Angeles Clippers,F,05/02/90,2.03,95.3,33005556,USA,2010,1,10,Fresno State,NBA2k20
8,Damian Lillard,92,#0,Portland Trail Blazers,G,07/15/90,1.88,88.5,29802321,USA,2012,1,6,Weber State,NBA2k20
9,Joel Embiid,91,#21,Philadelphia 76ers,C,03/16/94,2.13,113.4,27504630,Cameroon,2014,1,3,Kansas,NBA2k20
10,Kyrie Irving,91,#11,Brooklyn Nets,G,03/23/92,1.88,81.6,31742000,Australia,2011,1,1,Duke,NBA2k20
11,Nikola Jokic,90,#15,Denver Nuggets,C,02/19/95,2.13,114.8,27504630,Serbia,2014,2,41,,NBA2k20
12,Russell Westbrook,90,#0,Houston Rockets,G,11/12/88,1.91,86.2,38506482,USA,2008,1,4,UCLA,NBA2k20
13,Klay Thompson,89,#11,Golden State Warriors,G,02/08/90,1.98,93.0,32742000,USA,2011,1,11,Washington State,NBA2k20
14,Karl-Anthony Towns,89,#32,Minnesota Timberwolves,F-C,11/15/95,2.11,112.5,27285000,USA,2015,1,1,Kentucky,NBA2k20
15,Jimmy Butler,88,#22,Miami Heat,G,09/14/89,2.01,99.8,32742000,USA,2011,1,30,Marquette,NBA2k20
16,Rudy Gobert,88,#27,Utah Jazz,C,06/26/92,2.16,108.0,25258427,France,2013,1,27,,NBA2k20
17,Blake Griffin,88,#23,Detroit Pistons,F,03/16/89,2.06,114.3,34449964,USA,2009,1,1,Oklahoma,NBA2k20
18,Donovan Mitchell,88,#45,Utah Jazz,G,09/07/96,1.85,95.7,3635760,USA,2017,1,13,Louisville,NBA2k20
19,Kemba Walker,88,#8,Boston Celtics,G,05/08/90,1.83,78.0,32742000,USA,2011,1,9,UConn,NBA2k20
20,Luka Doncic,87,#77,Dallas Mavericks,G-F,02/28/99,2.01,103.0,7683360,Slovenia,2018,1,3,,NBA2k20
21,LaMarcus Aldridge,87,#12,San Antonio Spurs,F-C,07/19/85,2.11,111.6,26000000,USA,2006,1,2,Texas,NBA2k20
22,Bradley Beal,87,#3,Washington Wizards,G,06/28/93,1.91,93.9,27093018,USA,2012,1,3,Florida,NBA2k20
23,Mike Conley,87,#10,Utah Jazz,G,10/11/87,1.85,83.9,32511623,USA,2007,1,4,Ohio State,NBA2k20
24,DeMar DeRozan,87,#10,San Antonio Spurs,G-F,08/07/89,1.98,99.8,27739975,USA,2009,1,9,USC,NBA2k20
25,CJ McCollum,87,#3,Portland Trail Blazers,G,09/19/91,1.91,89.4,27556959,USA,2013,1,10,Lehigh,NBA2k20
26,Victor Oladipo,87,#4,Indiana Pacers,G,05/04/92,1.93,96.6,21000000,USA,2013,1,2,Indiana,NBA2k20
27,Kristaps Porzingis,87,#6,Dallas Mavericks,F-C,08/02/95,2.21,99.8,27285000,Latvia,2015,1,4,,NBA2k20
28,D'Angelo Russell,87,#0,Minnesota Timberwolves,G,02/23/96,1.93,87.5,27285000,USA,2015,1,2,Ohio State,NBA2k20
29,Pascal Siakam,87,#43,Toronto Raptors,F,04/02/94,2.06,103.0,2351838,Cameroon,2016,1,27,New Mexico State,NBA2k20
30,Ben Simmons,87,#25,Philadelphia 76ers,F,07/20/96,2.08,108.9,8113929,Australia,2016,1,1,LSU,NBA2k20
31,De'Aaron Fox,86,#5,Sacramento Kings,G,12/20/97,1.91,77.6,6392760,USA,2017,1,5,Kentucky,NBA2k20
32,Devin Booker,86,#1,Phoenix Suns,G,10/30/96,1.96,93.4,27285000,USA,2015,1,13,Kentucky,NBA2k20
33,DeMarcus Cousins,86,#0,,C,08/13/90,2.08,122.5,3500000,USA,2010,1,5,Kentucky,NBA2k20
34,Andre Drummond,86,#0,Cleveland Cavaliers,C,08/10/93,2.08,122.5,27093018,USA,2012,1,9,UConn,NBA2k20
35,Draymond Green,86,#23,Golden State Warriors,F,03/04/90,1.98,104.3,18539130,USA,2012,2,35,Michigan State,NBA2k20
36,Jrue Holiday,86,#11,New Orleans Pelicans,G,06/12/90,1.91,81.6,26131111,USA,2009,1,17,UCLA,NBA2k20
37,Nikola Vucevic,86,#9,Orlando Magic,C,10/24/90,2.11,108.9,28000000,Montenegro,2011,1,16,USC,NBA2k20
38,John Wall,86,#2,Washington Wizards,G,09/06/90,1.93,88.5,38199000,USA,2010,1,1,Kentucky,NBA2k20
39,Jayson Tatum,85,#0,Boston Celtics,F,03/03/98,2.03,92.5,7830000,USA,2017,1,3,Duke,NBA2k20
40,Trae Young,85,#11,Atlanta Hawks,G,09/19/98,1.85,81.6,6273000,USA,2018,1,5,Oklahoma,NBA2k20
41,Eric Bledsoe,85,#6,Milwaukee Bucks,G,12/09/89,1.85,88.5,15625000,USA,2010,1,18,Kentucky,NBA2k20
42,Clint Capela,85,#15,Atlanta Hawks,C,05/18/94,2.08,95.7,16896552,Switzerland,2014,1,25,,NBA2k20
43,Tobias Harris,85,#12,Philadelphia 76ers,F,07/15/92,2.03,102.5,32742000,USA,2011,1,19,Tennessee,NBA2k20
44,Al Horford,85,#42,Philadelphia 76ers,C-F,06/03/86,2.06,111.6,28000000,Dominican Republic,2007,1,3,Florida,NBA2k20
45,Zach LaVine,85,#8,Chicago Bulls,G,03/10/95,1.98,82.1,19500000,USA,2014,1,13,UCLA,NBA2k20
46,Kyle Lowry,85,#7,Toronto Raptors,G,03/25/86,1.83,93.0,33296296,USA,2006,1,24,Villanova,NBA2k20
47,Khris Middleton,85,#22,Milwaukee Bucks,F,08/12/91,2.01,98.4,30603448,USA,2012,2,39,Texas A&M,NBA2k20
48,Chris Paul,85,#3,Oklahoma City Thunder,G,05/06/85,1.85,79.4,38506482,USA,2005,1,4,Wake Forest,NBA2k20
49,John Collins,84,#20,Atlanta Hawks,F,09/23/97,2.06,102.1,2686560,USA,2017,1,19,Wake Forest,NBA2k20
50,Buddy Hield,84,#24,Sacramento Kings,G,12/17/93,1.93,96.2,4861207,The Bahamas,2016,1,6,Oklahoma,NBA2k20
51,Kyle Kuzma,84,#0,Los Angeles Lakers,F,07/24/95,2.03,100.2,1974600,USA,2017,1,27,Utah,NBA2k20
52,Jamal Murray,84,#27,Denver Nuggets,G,02/23/97,1.93,91.2,4444746,Canada,2016,1,7,Kentucky,NBA2k20
53,Louis Williams,84,#23,Los Angeles Clippers,G,10/27/86,1.85,79.4,8000000,USA,2005,2,45,,NBA2k20
54,Marvin Bagley,83,#35,Sacramento Kings,F,03/14/99,2.11,106.6,8556120,USA,2018,1,2,Duke,NBA2k20
55,Bojan Bogdanovic,83,#44,Utah Jazz,G-F,04/18/89,2.03,98.0,17000000,Croatia,2011,2,31,,NBA2k20
56,Malcolm Brogdon,83,#7,Indiana Pacers,G,12/11/92,1.96,101.2,20000000,USA,2016,2,36,Virginia,NBA2k20
57,Danilo Gallinari,83,#8,Oklahoma City Thunder,F,08/08/88,2.08,102.1,22615559,Italy,2008,1,6,,NBA2k20
58,Montrezl Harrell,83,#5,Los Angeles Clippers,F,01/26/94,2.01,114.8,6000000,USA,2015,2,32,Louisville,NBA2k20
59,Kevin Love,83,#0,Cleveland Cavaliers,F,09/07/88,2.03,117.9,28942830,USA,2008,1,5,UCLA,NBA2k20
60,Lauri Markkanen,83,#24,Chicago Bulls,F-C,05/22/97,2.13,108.9,5300400,Finland,2017,1,7,Arizona,NBA2k20
61,Jusuf Nurkic,83,#27,Portland Trail Blazers,C,08/23/94,2.13,131.5,12000000,Bosnia and Herzegovina,2014,1,16,,NBA2k20
62,Julius Randle,83,#30,New York Knicks,F,11/29/94,2.03,113.4,18000000,USA,2014,1,7,Kentucky,NBA2k20
63,Marc Gasol,82,#33,Toronto Raptors,C,01/29/85,2.11,120.2,25595700,Spain,2007,2,48,,NBA2k20
64,Steven Adams,82,#12,Oklahoma City Thunder,C,07/20/93,2.11,115.7,25842697,New Zealand,2013,1,12,Pittsburgh,NBA2k20
65,Deandre Ayton,82,#22,Phoenix Suns,C,07/23/98,2.11,113.4,9562920,The Bahamas,2018,1,1,Arizona,NBA2k20
66,Spencer Dinwiddie,82,#8,Brooklyn Nets,G,04/06/93,1.96,93.0,10605600,USA,2014,2,38,Colorado,NBA2k20
67,Jaren Jackson,82,#13,Memphis Grizzlies,F-C,09/15/99,2.11,110.0,6699960,USA,2018,1,4,Michigan State,NBA2k20
68,Paul Millsap,82,#4,Denver Nuggets,F-C,02/10/85,2.01,113.4,30350000,USA,2017,2,47,Louisiana Tech,NBA2k20
69,Marcus Smart,82,#36,Boston Celtics,G,03/06/94,1.91,103.0,12553571,USA,2014,1,6,Oklahoma State,NBA2k20
70,Myles Turner,82,#33,Indiana Pacers,F-C,03/24/96,2.11,108.4,18000000,USA,2015,1,11,Texas,NBA2k20
71,Serge Ibaka,81,#9,Toronto Raptors,F,09/18/89,2.13,108.9,23271604,Spain,2008,1,24,,NBA2k20
72,Zion Williamson,81,#1,New Orleans Pelicans,F,07/06/00,1.98,128.8,9757440,USA,2019,1,1,Duke,NBA2k20
73,Rudy Gay,81,#22,San Antonio Spurs,F,08/17/86,2.03,104.3,14500000,USA,2006,1,8,UConn,NBA2k20
74,Aaron Gordon,81,#0,Orlando Magic,F,09/16/95,2.03,99.8,19863636,USA,2014,1,4,Arizona,NBA2k20
75,Brandon Ingram,81,#14,New Orleans Pelicans,F,09/02/97,2.01,88.9,7265485,USA,2016,1,2,Duke,NBA2k20
76,DeAndre Jordan,81,#6,Brooklyn Nets,C,07/21/88,2.11,120.2,9881598,USA,2008,2,35,Texas A&M,NBA2k20
77,Domantas Sabonis,81,#11,Indiana Pacers,F-C,05/03/96,2.11,104.8,3529554,Lithuania,2016,1,11,Gonzaga,NBA2k20
78,Jonas Valanciunas,81,#17,Memphis Grizzlies,C,05/06/92,2.11,104.8,16000000,Lithuania,2011,1,5,,NBA2k20
79,Hassan Whiteside,81,#21,Portland Trail Blazers,C,06/13/89,2.13,106.6,27093018,USA,2010,2,33,Marshall,NBA2k20
80,Derrick Rose,80,#25,Detroit Pistons,G,10/04/88,1.88,86.2,7317074,USA,2008,1,1,Memphis,NBA2k20
81,Robert Covington,80,#33,Houston Rockets,F,12/14/90,2.01,94.8,11301219,USA,2013,Undrafted,Undrafted,Tennessee State,NBA2k20
82,Derrick Favors,80,#22,New Orleans Pelicans,F,07/15/91,2.06,111.6,17650000,USA,2010,1,3,Georgia Tech,NBA2k20
83,Gordon Hayward,80,#20,Boston Celtics,F,03/23/90,2.01,93.9,32700690,USA,2010,1,9,Butler,NBA2k20
84,Reggie Jackson,80,#0,Los Angeles Clippers,G,04/16/90,1.91,94.3,17799677,USA,2011,1,24,Boston College,NBA2k20
85,Enes Kanter,80,#11,Boston Celtics,C,05/20/92,2.08,118.8,4767000,Turkey,2011,1,3,,NBA2k20
86,Otto Porter,80,#22,Chicago Bulls,F,06/03/93,2.03,89.8,27250576,USA,2013,1,2,Georgetown,NBA2k20
87,JJ Redick,80,#4,New Orleans Pelicans,G,06/24/84,1.91,86.2,13486300,USA,2006,1,11,Duke,NBA2k20
88,Josh Richardson,80,#0,Philadelphia 76ers,G,09/15/93,1.96,90.7,10116576,USA,2015,2,40,Tennessee,NBA2k20
89,TJ Warren,80,#1,Indiana Pacers,F,09/05/93,2.03,99.8,11060000,USA,2014,1,14,NC State,NBA2k20
90,Ja Morant,79,#12,Memphis Grizzlies,G,08/10/99,1.91,78.9,8730240,USA,2019,1,2,Murray State,NBA2k20
91,Bam Adebayo,79,#13,Miami Heat,F-C,07/18/97,2.06,110.2,3454080,USA,2017,1,14,Kentucky,NBA2k20
92,Jarrett Allen,79,#31,Brooklyn Nets,C,04/20/98,2.11,106.1,2376840,USA,2017,1,22,Texas,NBA2k20
93,Lonzo Ball,79,#2,New Orleans Pelicans,G,10/27/97,1.98,86.2,8719320,USA,2017,1,2,UCLA,NBA2k20
94,Harrison Barnes,79,#40,Sacramento Kings,F,05/30/92,2.03,95.3,24147727,USA,2012,1,7,North Carolina,NBA2k20
95,Patrick Beverley,79,#21,Los Angeles Clippers,G,07/12/88,1.85,81.6,12345680,USA,2009,2,42,Arkansas,NBA2k20
96,Jaylen Brown,79,#7,Boston Celtics,F,10/24/96,1.98,101.2,6534829,USA,2016,1,3,California,NBA2k20
97,Willie Cauley-Stein,79,#0,Dallas Mavericks,C,08/18/93,2.13,109.8,2177483,USA,2015,1,6,Kentucky,NBA2k20
98,Goran Dragic,79,#7,Miami Heat,G,05/06/86,1.91,86.2,19217900,Slovenia,2008,2,45,,NBA2k20
99,Shai Gilgeous-Alexander,79,#2,Oklahoma City Thunder,G,07/12/98,1.96,81.6,3952920,Canada,2018,1,11,Kentucky,NBA2k20
100,Gary Harris,79,#14,Denver Nuggets,G,09/14/94,1.93,93.0,17839286,USA,2014,1,19,Michigan State,NBA2k20
101,Joe Ingles,79,#2,Utah Jazz,F,10/02/87,2.01,94.8,11454546,Australia,2009,Undrafted,Undrafted,,NBA2k20
102,Jeremy Lamb,79,#26,Indiana Pacers,G,05/30/92,1.96,81.6,10500000,USA,2012,1,12,UConn,NBA2k20
103,Brook Lopez,79,#11,Milwaukee Bucks,C,04/01/88,2.13,120.2,12093024,USA,2008,1,10,Stanford,NBA2k20
104,JaVale McGee,79,#7,Los Angeles Lakers,C,01/19/88,2.13,122.5,4000000,USA,2008,1,18,Nevada,NBA2k20
105,Mitchell Robinson,79,#23,New York Knicks,C,04/01/98,2.13,101.2,1559712,USA,2018,2,36,,NBA2k20
106,Terrence Ross,79,#8,Orlando Magic,G,02/05/91,1.98,93.4,12500000,USA,2012,1,8,Washington,NBA2k20
107,Tristan Thompson,79,#13,Cleveland Cavaliers,F,03/13/91,2.06,102.1,18539130,Canada,2011,1,4,Texas,NBA2k20
108,PJ Tucker,79,#17,Houston Rockets,F,05/05/85,1.96,102.1,8349039,USA,2006,2,35,Texas,NBA2k20
109,Fred VanVleet,79,#23,Toronto Raptors,G,02/25/94,1.85,89.4,9346153,USA,2006,Undrafted,Undrafted,Wichita State,NBA2k20
110,Andrew Wiggins,79,#22,Golden State Warriors,F,02/23/95,2.01,89.4,27504630,Canada,2014,1,1,Kansas,NBA2k20
111,Thaddeus Young,79,#21,Chicago Bulls,F,06/21/88,2.03,99.8,12900000,USA,2007,1,12,Georgia Tech,NBA2k20
112,RJ Barrett,78,#9,New York Knicks,G,06/14/00,1.98,91.6,7839960,Canada,2019,1,3,Duke,NBA2k20
113,Ricky Rubio,78,#11,Phoenix Suns,G,10/21/90,1.91,81.6,16200000,Spain,2009,1,5,,NBA2k20
114,Will Barton,78,#5,Denver Nuggets,G,01/06/91,1.96,79.4,12776786,USA,2012,2,40,Memphis,NBA2k20
115,Bogdan Bogdanovic,78,#8,Sacramento Kings,G,08/18/92,1.98,93.0,8529386,Serbia,2014,1,27,,NBA2k20
116,Thomas Bryant,78,#13,Washington Wizards,F-C,07/31/97,2.08,109.3,8000000,USA,2017,2,42,Indiana,NBA2k20
117,Wendell Carter,78,#34,Chicago Bulls,C,04/16/99,2.06,117.5,5201400,USA,2018,1,7,Duke,NBA2k20
118,Jordan Clarkson,78,#8,Utah Jazz,G,06/07/92,1.93,84.4,13437500,Philippines,2014,2,46,Missouri,NBA2k20
119,Evan Fournier,78,#10,Orlando Magic,G,10/29/92,2.01,86.2,17150000,France,2012,1,20,,NBA2k20
120,Eric Gordon,78,#10,Houston Rockets,G,12/25/88,1.91,97.5,14057730,USA,2008,1,7,Indiana,NBA2k20
121,JaMychal Green,78,#4,Los Angeles Clippers,F,06/21/90,2.03,99.8,4767000,USA,2012,Undrafted,Undrafted,Alabama,NBA2k20
122,Joe Harris,78,#12,Brooklyn Nets,G,09/06/91,1.98,97.5,7666667,USA,2014,2,33,Virginia,NBA2k20
123,Andre Iguodala,78,#9,Miami Heat,G-F,01/28/84,1.98,93.9,17185185,USA,2004,1,9,Arizona,NBA2k20
124,Caris LeVert,78,#22,Brooklyn Nets,G,08/25/94,1.98,86.6,2625717,USA,2016,1,20,Michigan,NBA2k20
125,Marcus Morris,78,#0,Los Angeles Clippers,F,09/02/89,2.03,106.6,15000000,USA,2011,1,14,Kansas,NBA2k20
126,Dejounte Murray,78,#5,San Antonio Spurs,G,09/19/96,1.93,77.1,2321735,USA,2016,1,29,Washington,NBA2k20
127,Larry Nance Jr,78,#22,Cleveland Cavaliers,F,01/01/93,2.01,103.0,12727273,USA,2015,1,27,Wyoming,NBA2k20
128,Kelly Olynyk,78,#9,Miami Heat,C,04/19/91,2.11,106.1,12667885,Canada,2013,1,13,Gonzaga,NBA2k20
129,Kelly Oubre,78,#3,Phoenix Suns,F-G,12/09/95,2.01,92.1,15625000,USA,2015,1,15,Kansas,NBA2k20
130,Jabari Parker,78,#0,Sacramento Kings,F,03/15/95,2.03,106.6,6500000,USA,2014,1,2,Duke,NBA2k20
131,Bobby Portis,78,#1,New York Knicks,F-C,02/10/95,2.08,111.6,15000000,USA,2015,1,22,Arkansas,NBA2k20
132,Terry Rozier,78,#3,Charlotte Hornets,G,03/17/94,1.85,86.2,19894737,USA,2015,1,16,Louisville,NBA2k20
133,Dennis Schroeder,78,#17,Oklahoma City Thunder,G,09/15/93,1.85,78.0,15500000,Germany,2013,1,17,,NBA2k20
134,Jeff Teague,78,#0,Atlanta Hawks,G,06/10/88,1.91,82.1,19000000,USA,2009,1,19,Wake Forest,NBA2k20
135,Derrick White,78,#4,San Antonio Spurs,G,07/02/94,1.93,90.7,1948080,USA,2017,1,29,Colorado,NBA2k20
136,Justise Winslow,78,#0,Memphis Grizzlies,F,03/26/96,1.98,100.7,13000000,USA,2015,1,10,Duke,NBA2k20
137,Darius Garland,77,#10,Cleveland Cavaliers,G,06/26/00,1.85,79.4,6400920,USA,2019,1,5,Vanderbilt,NBA2k20
138,De'Andre Hunter,77,#12,Atlanta Hawks,F,12/01/97,2.01,102.1,7068360,USA,2019,1,4,Virginia,NBA2k20
139,Al-Farouq Aminu,77,#2,Orlando Magic,F,09/21/90,2.03,97.5,9258000,Nigeria,2010,1,8,Wake Forest,NBA2k20
140,Mo Bamba,77,#5,Orlando Magic,C,05/12/98,2.13,102.1,5697600,USA,2018,1,6,Texas,NBA2k20
141,Nicolas Batum,77,#5,Charlotte Hornets,F-G,12/14/88,2.06,95.3,25565217,France,2008,1,25,,NBA2k20
142,Malik Beasley,77,#0,Minnesota Timberwolves,G,11/26/96,1.93,89.8,2731713,USA,2016,1,19,Florida State,NBA2k20
143,Nemanja Bjelica,77,#88,Sacramento Kings,F-G,05/09/88,2.08,101.6,6825000,Serbia,2010,2,35,,NBA2k20
